,utc_timestamp,local_timestamp,caid,id_type,location_name,top_category,sub_category,street_address,city,state,naics_code,brands,zip_code,minimum_dwell,safegraph_place_id,geohash_5,census_block_group,placekey
677,1672536092,1672514492,ef6e9c494369d3c83a581aeb2d0c71188d8cf9ee8e140b9a1e691bc1575b1137,aaid,home,,,,elkhorn,wisconsin,,,53121,294.0,home,dp949,551270009013,
678,1672560418,1672538818,ef6e9c494369d3c83a581aeb2d0c71188d8cf9ee8e140b9a1e691bc1575b1137,aaid,home,,,,elkhorn,wisconsin,,,53121,346.0,home,dp949,551270009013,
679,1672535269,1672517269,20c0717eef6584ebdaa13364724d2332eed95c46e73258c656dc97182a1fd5f7,aaid,home,,,,east marlborough township,pennsylvania,,,19348,148.0,home,dr44u,420293035021,
680,1672610496,1672592496,e6561a731c56eea0e3cac5d0eb1b41736d8d4fd0579fe8cef791ca2dce049f50,aaid,home,,,,,michigan,,,48173,43.0,home,dpkz6,261635920002,
681,1672531216,1672502416,de39c5bb5e42492f92a8c50efcefd3ef496aec6e23330b5771697fcdd85b491e,aaid,home,,,,chico,california,,,95928,802.0,home,9r165,060070010001,
682,1672536341,1672511141,5832379a56eb3c498582eaafd24f96d73359f7df16da0af2dafea3aa83fb18bb,aaid,home,,,,albuquerque,new mexico,,,87108,375.0,home,9whpw,350010009042,
683,1672560649,1672535449,5832379a56eb3c498582eaafd24f96d73359f7df16da0af2dafea3aa83fb18bb,aaid,home,,,,albuquerque,new mexico,,,87108,644.0,home,9whpw,350010009042,
684,1672549261,1672520461,1c0c6fccc34fb73daa6f41050876c85987aeca7fbb798b25e2357ea33e1bd7c8,aaid,home,,,,canyon city,oregon,,,97820,249.0,home,9rgkt,410239602005,
685,1672532011,1672514011,6397d0091a7033f557f70188bd69fffbf2d2d61071a1930d3741f1441717aae8,aaid,home,,,,sayre,pennsylvania,,,18840,247.0,home,dr3wf,420159503004,
686,1672538518,1672520518,53dd7f6bc6c9e2abd86353c7881e415bf6c81734b9aa0fa19b4b88bf8827a526,aaid,home,,,,flint,michigan,,,48505,23.0,home,dpskz,260490004003,
687,1672538507,1672516907,2792e3201eb2b57ce92de9ed7f625264ddf8a9cc3153c685bcf8500c5b7dda14,aaid,home,,,,palos hills,illinois,,,60465,243.0,home,dp3t3,170318237022,
688,1672610467,1672592467,2ec9e6280db22eda3a6c2ce9c16ea7524e90bf8a284fe2f63355a52e5f4025b2,aaid,home,,,,augusta-richmond county consolidated government (balance),georgia,,,30904,24.0,home,djvwm,132450011001,
689,1672535655,1672506855,d160f5e369bad83638b900cb6dac0f7583147484414e73244fbb2a5bd1edb59e,aaid,home,,,,lynwood,california,,,90262,5.0,home,9q5cn,060375402031,
690,1672540544,1672522544,c95816d9a925e6d641dc23be2d57ad9938df7afc05d28cd6dbcdd9545f007b02,aaid,home,,,,baltimore,maryland,,,21224,15.0,home,dqcx9,245102607001,
691,1672531250,1672502450,b37a8d7e2d81f975a07ac30f319a4dd5947b13dbea391766e0a4125aebd9eb4c,aaid,home,,,,west hollywood,california,,,90069,12.0,home,9q5cf,060377004003,
692,1672550244,1672521444,b37a8d7e2d81f975a07ac30f319a4dd5947b13dbea391766e0a4125aebd9eb4c,aaid,home,,,,west hollywood,california,,,90069,36.0,home,9q5cf,060377004003,
693,1672553450,1672524650,b37a8d7e2d81f975a07ac30f319a4dd5947b13dbea391766e0a4125aebd9eb4c,aaid,home,,,,west hollywood,california,,,90069,60.0,home,9q5cf,060377004003,
694,1672531350,1672509750,98565b1c53b64260c6be84c40575ac43a0fd2de556a1a154f6b6c06cc2a2d162,aaid,home,,,,milwaukee,wisconsin,,,53204,167.0,home,dp9kw,550790170002,
695,1672547374,1672525774,98565b1c53b64260c6be84c40575ac43a0fd2de556a1a154f6b6c06cc2a2d162,aaid,home,,,,milwaukee,wisconsin,,,53204,359.0,home,dp9kw,550790170002,
696,1672554325,1672536325,4892ac3e508bdbae50068b65eabadf5662d8cbc4bb2b1a2912036f534c80b050,aaid,home,,,,zephyrhills,florida,,,33542,140.0,home,djj89,121010330132,
697,1672583159,1672565159,d41b40ceec51c0966531367fc04457a5000f38812d1d367bf7f96f2218eda9f3,aaid,home,,,,,pennsylvania,,,17815,17.0,home,dr397,420370503002,
698,1672596062,1672574462,42811d300d2db919dabd277fee8fec458066f0f9810c07aab21a6650841d2690,aaid,home,,,,oklahoma city,oklahoma,,,73170,319.0,home,9y68u,400272016091,
699,1672588893,1672570893,58e4cb2fedec9ce4a2309ccd0860ed2d91df735d60181648c914922cd004f3eb,aaid,home,,,,twinsburg,ohio,,,44087,18.0,home,dpq54,391535301044,
700,1672542094,1672524094,61cbfad32ad4d822dc9640df7426ecba5430e0445b039bc749175f396d2f0fb3,aaid,home,,,,,pennsylvania,,,15501,1038.0,home,dppg8,421110209003,
701,1672550236,1672525036,492122684541c24005e8f5653a71c74a63b7e62bfb2503cc4e8004a7ccad225e,aaid,home,,,,ajo,arizona,,,85321,552.0,home,9mz8p,040190052002,
702,1672552862,1672531262,9aa96ccf4dd39e19cd9964c6e99be547bc490a4bae8afaf0e8d05cc3ae7563e5,aaid,home,,,,hobart,wisconsin,,,54313,25.0,home,dpcm7,550099400011,
703,1672560062,1672538462,9aa96ccf4dd39e19cd9964c6e99be547bc490a4bae8afaf0e8d05cc3ae7563e5,aaid,home,,,,hobart,wisconsin,,,54313,5.0,home,dpcm7,550099400011,
704,1672531298,1672509698,63e19fd1ef0a18bb9a425fee46704b32414b4267eede57302ba4a59f21f6c0ee,aaid,home,,,,teutopolis,illinois,,,62467,1432.0,home,dncnd,170499501002,
705,1672570933,1672552933,4c2d3bb5efe327d9842e2eb962b7299eef1acf168471a2909ca1ce246d9604f6,aaid,home,,,,inwood,new york,,,11096,25.0,home,dr5x1,360594110005,
706,1672592496,1672574496,80aa767018c458f606cdc1c60d4e982463ca4041f10f908f4951cbdbac3798d4,aaid,home,,,,middletown,ohio,,,45044,48.0,home,dp5bz,390170131001,
707,1672582416,1672560816,17fc0e6663a5869a6963c5fa873ab1064af1a56a412724bfe4379355828bcdbc,idfa,home,,,,joliet,illinois,,,60435,5.0,home,dp3k7,171978815002,
708,1672558288,1672533088,7e4a2918c2ad027b9834b3b5cdb883dd0a8f2479f1b4cac4f17944542bd7df41,aaid,home,,,,phoenix,arizona,,,85023,21.0,home,9tbr2,040131036092,
709,1672534741,1672513141,d2753c1d868f69ce1b8b1497f14d9c829e1647c4370718914e4c8239dbc12798,aaid,home,,,,minneapolis,minnesota,,,55417,241.0,home,9zvxq,270530118004,
710,1672542061,1672520461,02d3cdd33375a17c9554d21e339a5762d1293f69949f7f471e81eb00e6afc45c,aaid,home,,,,ford heights,illinois,,,60411,15.0,home,dp3sn,170318297002,
711,1672549294,1672527694,02d3cdd33375a17c9554d21e339a5762d1293f69949f7f471e81eb00e6afc45c,aaid,home,,,,ford heights,illinois,,,60411,898.0,home,dp3sn,170318297002,
712,1672531200,1672509600,7b59d15308860c89d4ce0c4111d04761128b144cfd6ff99d509535901f3bc115,aaid,home,,,,chicago,illinois,,,60628,4.0,home,dp3tn,170314914003,
